importid,_id,point_1_geo,point_1_name,point_1_city,point_1_postal_code,point_1_street,point_1_street_number,point_1_country,point_2_geo,point_2_name,point_2_street,point_2_postal_code,point_2_country,point_2_street_number,point_2_city,ndt_in_kmh,rba_id,organisation,duration_in_sec,road_type,report_id,distance_in_meters,report_name
105,281,0101000020E610000000E067CF1070244099903B86CB184C40,4581,Risskov,8240,Grenåvej,0,Denmark,0101000020E610000000AB9501B86C2440B2316FF3F1174C40,2661,Vejlby Ringvej,8240,Denmark,0,"""Risskov""",44,186215,"""COWI""",77,"""MAJOR_ROAD""",184866,942,"""AAR_BT_0188 4581 2661"""
106,367,0101000020E61000000088BA67BA5A24409556CF2FDC114C40,3988,Aarhus,8000,Haveforening Af 1918,4,Denmark,0101000020E61000000054AAA0B95B24406DAD53AEB8114C40,4373,Skanderborgvej,8260,Denmark,106,"""Aarhus""",30,192360,"""COWI""",50,"""MAJOR_ROAD""",190312,422,"""AAR_BT_0274 3988 4373"""
107,368,0101000020E610000000542AF9D15B244017653D91B4114C40,4373,Aarhus,8260,Skanderborgvej,107,Denmark,0101000020E61000000088BA9FBE5A24400B142352DF114C40,3988,Marselis Boulevard,8000,Denmark,174,"""Aarhus""",19,192362,"""COWI""",95,"""MAJOR_ROAD""",190338,494,"""AAR_BT_0275 4373 3988"""
108,369,0101000020E6100000403751537A9B2440200CCBFECC204C40,4341,Skødstrup,8541,Grenåvej,0,Denmark,0101000020E6100000009A082765962440647E5913711D4C40,4357,Grenåvej,8250,Denmark,503,"""Ega""",46,192364,"""COWI""",245,"""MAJOR_ROAD""",190367,3104,"""AAR_BT_0277 4341 4357"""
109,370,0101000020E6100000009A084781962440044E28B56F1D4C40,4357,Ega,8250,Grenåvej,534,Denmark,0101000020E6100000403751537A9B2440200CCBFECC204C40,4341,Grenåvej,8541,Denmark,0,"""Sk\u00f8dstrup""",46,192366,"""COWI""",244,"""MAJOR_ROAD""",190393,3115,"""AAR_BT_0278 4357 4341"""
110,233,0101000020E6100000001EFAC41E6B2440CCE7D96012164C40,3183,Aarhus,8200,Nordre Ringgade,64B,Denmark,0101000020E6100000805208541B672440A7DBD2C4EA154C40,3191,Nordre Ringgade,8000,Denmark,3,"""Aarhus""",22,182214,"""COWI""",83,"""MAJOR_ROAD""",180818,508,"""AAR_BT_0140 3183 3191"""
111,234,0101000020E61000008052081E2467244056EEFF57E7154C40,3191,Aarhus,8000,Nordre Ringgade,64B,Denmark,0101000020E6100000000F7D31266B2440FFFAB59A0F164C40,3183,Nordre Ringgade,8200,Denmark,64B,"""Aarhus""",28,182216,"""COWI""",66,"""MAJOR_ROAD""",180844,505,"""AAR_BT_0141 3191 3183"""
112,235,0101000020E6100000805208541B672440A7DBD2C4EA154C40,3191,Aarhus,8000,Nordre Ringgade,3,Denmark,0101000020E610000000FE2A5D806324405D738D8DB0154C40,3192,Vestre Ringgade,8200,Denmark,61,"""Aarhus""",40,182218,"""COWI""",43,"""MAJOR_ROAD""",180872,481,"""AAR_BT_0142 3191 3192"""
113,236,0101000020E610000000FE2AF9986324407614C876AB154C40,3192,Aarhus,8000,Vestre Ringgade,210,Denmark,0101000020E61000008052081E2467244056EEFF57E7154C40,3191,Nordre Ringgade,8000,Denmark,210,"""Aarhus""",40,182220,"""COWI""",43,"""MAJOR_ROAD""",180898,476,"""AAR_BT_0143 3192 3191"""
114,237,0101000020E610000000FE2A5D806324405D738D8DB0154C40,3192,Aarhus,8200,Vestre Ringgade,61,Denmark,0101000020E6100000809F72FF265F2440820B19F3FC144C40,3193,Vestre Ringgade,8210,Denmark,53,"""Aarhus""",44,182222,"""COWI""",67,"""MAJOR_ROAD""",180926,813,"""AAR_BT_0144 3192 3193"""
